name,description,price,promoPrice,promoActive,currency,moq,stock,category,imageUrl,priceVisible,status,unit,unitFormat,sellingFormat,unitsPerPallet,palletPrice,palletMoq,palletStock,palletWeight,temperatureRequirement,contentCategory,specialHandling_fragile,specialHandling_perishable,specialHandling_hazardous,deliveryOptions_pickup,deliveryOptions_delivery
Bags of Blacked Beans,,30.00,,false,GBP,1,0,Groceries & Food,,true,active,,,units,,,,,,ambient,food,false,false,false,true,true
Bags of Honey Beans,,32.00,,false,GBP,1,0,Groceries & Food,,true,active,,,units,,,,,,ambient,food,false,false,false,true,true
Ola Ola,,124.00,,false,GBP,1,0,Groceries & Food,,true,active,,4.4kg x10,units,,,,,,ambient,food,false,false,false,true,true
Ola Ola,,124.00,,false,GBP,1,0,Groceries & Food,,true,active,,1.4kg x11,units,,,,,,ambient,food,false,false,false,true,true
Fanta,,23.00,,false,GBP,1,0,Beverages & Drinks,,true,active,,,units,,,,,,ambient,food,false,false,false,true,true
Sprite,,12.00,,false,GBP,1,0,Beverages & Drinks,,true,active,,,units,,,,,,ambient,food,false,false,false,true,true
Maltina Can,,11.00,,false,GBP,1,0,Beverages & Drinks,,true,active,,,units,,,,,,ambient,food,false,false,false,true,true
Malt Guinness,,11.00,,false,GBP,1,0,Beverages & Drinks,,true,active,,,units,,,,,,ambient,food,false,false,false,true,true
Golden Morn,,14.00,,false,GBP,1,0,Groceries & Food,,true,active,,300g x12,units,,,,,,ambient,food,false,false,false,true,true
Golden Morn,,16.00,,false,GBP,1,0,Groceries & Food,,true,active,,950g x6,units,,,,,,ambient,food,false,false,false,true,true
Golden Morn,,16.00,,false,GBP,1,0,Groceries & Food,,true,active,,600g x6,units,,,,,,ambient,food,false,false,false,true,true
Onga Seasoning Classic,,,,,GBP,1,0,Groceries & Food,,false,active,,,units,,,,,,ambient,food,false,false,false,true,true
Dudu Osun,,,,,GBP,1,0,Health & Beauty,,false,active,,,units,,,,,,ambient,other,false,false,false,true,true
Tetmosol,,,,,GBP,1,0,Health & Beauty,,false,active,,x12,units,,,,,,ambient,other,false,false,false,true,true
Tom Tom,,,,,GBP,1,0,Groceries & Food,,false,active,,24 bags x129g,units,,,,,,ambient,food,false,false,false,true,true
Maggi Star Cubes,,21.00,,false,GBP,1,0,Groceries & Food,,true,active,,,units,,,,,,ambient,food,false,false,false,true,true
Checkers Banana,,14.50,,false,GBP,1,0,Groceries & Food,,true,active,,2kg x2,units,,,,,,ambient,food,false,false,false,true,true
Checkers Vanilla Custard,,12.00,,false,GBP,1,0,Groceries & Food,,true,active,,1kg x4,units,,,,,,ambient,food,false,false,false,true,true
